date,leg,eff,bars,pct,leg_volume,sma50,sma50_slope,sma150,cvd_change,avwap,bb_position,bars_held,max_drop,bars_to_35
2026-02-06 12:00,-2.5,-0.13,3,0,560000,below,falling,below,179000,above,inside,103,12.76,2
2026-02-13 00:00,-1.5,-0.17,6,0,274000,above,falling,below,97000,above,inside,72,11.15,6
2026-02-25 12:00,-1.4,-0.11,5,23,417000,above,falling,below,96000,above,inside,26,9.9,3
2026-02-28 18:00,-2.7,-0.32,3,6,309000,above,falling,below,210000,below,inside,6,4.6,2
2026-03-04 12:00,17.5,1.26,12,65,948000,above,rising,above,283000,below,at upper,45,11.48,3
2026-03-10 06:00,1,0.1,7,61,512000,above,rising,above,284000,above,inside,11,3.9,3
2026-03-13 06:00,4.2,0.59,8,74,582000,above,rising,above,-96000,above,at upper,10,4.9,1
2026-03-15 18:00,3.3,0.55,7,81,272000,above,rising,above,164000,above,at upper,3,2.15,
2026-03-25 00:00,1.2,0.17,10,91,599000,above,falling,above,283000,above,inside,61,9.72,4
2026-04-01 00:00,-3.2,-0.47,10,88,559000,below,falling,below,215000,below,at upper,20,5.11,3
2026-04-06 06:00,4.8,0.68,16,98,459000,above,falling,below,127600,above,at upper,5,3.77,4
2026-04-07 12:00,-1.3,-0.17,1,66,166000,above,falling,above,115000,above,outside upper,11,3.21,
2026-04-11 12:00,8.3,1.75,11,100,412000,above,rising,above,81000,above,inside,8,4.41,3
2026-04-13 12:00,3.2,0.51,4,88,242000,above,rising,above,214000,above,at upper,9,1.9,
2026-04-17 06:00,11.9,1.73,4,100,319000,above,rising,above,214000,above,at upper,20,5.93,5
2026-04-21 18:00,4.6,0.71,8,97,401000,above,rising,above,112000,above,at upper,2,0.85,
2026-05-01 06:00,10.2,1.9,7,98,283400,above,rising,above,170000,above,inside,10,1.5,
2026-05-03 06:00,5,1.35,9,100,224000,above,rising,above,66000,above,at upper,4,3.07,
2026-05-05 12:00,11.9,2.58,6,99,374000,above,rising,above,183000,above,inside,2,1.33,
2026-05-10 12:00,-3.1,-0.75,11,77,258000,above,rising,above,102000,above,at upper,,29.95,11
2026-05-23 12:00,-2.1,-0.48,2,71,135000,below,falling,below,95000,above,inside,7,1.8,
