date,regime,window,atr_mult,gain,bars,max_up,max_drop,bars_held,bars_to_35
2025-11-23 12:00,up,1,3,9.1,9,0.34,3.26,3,
2025-11-26 00:00,up,1,3,7.87,11,1.85,8.86,23,15
2025-12-02 00:00,up,1,3,12.11,7,0.66,0.65,,9
2025-12-09 06:00,up,1,3,7.83,8,0,10.03,,6
2025-12-17 06:00,up,1,3,6.22,7,0.26,6.59,,1
2025-12-20 00:00,up,1,3,5.5,10,1.16,1.69,4,
2025-12-28 18:00,up,1,3,4.56,18,0.63,4,23,2
2026-01-02 06:00,up,1,3,4.82,16,0.72,1.85,6,
2026-01-04 18:00,up,1,3,4.62,7,1.12,1.37,2,
2026-01-11 18:00,up,1,3,3.64,14,1.32,2.62,6,
2026-01-13 12:00,up,1,3,7.55,5,0.9,2.53,3,
2026-01-28 06:00,up,1,3,5.31,11,0,27.01,,4
2026-02-06 12:00,up,2,3,19.92,3,0.82,9.25,,2
2026-02-13 00:00,up,2,3,8.42,6,0.54,7.03,,6
2026-02-25 12:00,up,2,3,12.17,5,2.7,10.03,26,3
2026-02-28 18:00,up,2,3,8.27,3,2.8,4.66,6,2
2026-03-04 12:00,up,2,3,13.9,12,0,11.45,,3
2026-03-10 06:00,up,2,3,9.42,7,1.11,3.92,11,3
2026-03-13 06:00,up,2,3,7.16,8,0.78,4.89,10,1
2026-03-15 18:00,up,2,3,5.96,7,0.59,2.15,3,
2026-03-25 00:00,up,2,3,6.98,10,0,9.84,,4
2026-04-01 00:00,up,2,3,6.73,10,1.39,5.21,20,3
2026-04-06 06:00,up,2,3,7.09,16,3.43,3.73,5,4
2026-04-07 12:00,up,2,3,7.43,1,0.7,3.18,11,
2026-04-11 12:00,up,2,3,4.75,11,1.49,4.49,8,3
2026-04-13 12:00,up,2,3,6.26,4,1.52,1.9,9,
2026-04-17 06:00,up,2,3,6.88,4,1.46,5.91,20,5
2026-04-21 18:00,up,2,3,6.49,8,1.27,0.86,2,
2026-05-01 06:00,up,2,3,5.36,7,2.17,1.47,10,
2026-05-03 18:00,up,2,3,3.7,9,0.85,3.05,4,
2026-05-05 12:00,up,2,3,4.63,6,1.33,1.34,2,
2026-05-10 12:00,up,2,3,4.2,11,0,7.82,,11
2026-05-23 12:00,up,2,3,4.34,2,0.6,1.77,7,
